seq_id,ID,ratio_DCA_CA,ratio_DCA_GCA,ratio_DCA_TCA,ratio_LCA_GCA,ratio_LCA_TCA,ratio_CA_GCA,ratio_CA_TCA
210625-LD-001.01,LD-001.01,0.51102217016357665,4.6234758654783015,6.4329725728431715,2.3973828475683714,3.335650180454991,9.047505441883942,12.588441262311568
210625-LD-001.02,LD-001.02,1,1,1,1,1,1,1
210628-LD-001.03,LD-001.03,71.10371231866442,383132.3277881365,383132.3277881365,752595.5177781424,752595.5177781424,5388.358994127594,5388.358994127594
210806-LD-001.04,LD-001.04,0.005244712751229917,3976.6229630704784,3976.6229630704784,1,1,758215.5880963998,758215.5880963998
210806-LD-001.05,LD-001.05,0.012798095125681957,8616.016419986037,8616.016419986037,1,1,673226.471234478,673226.471234478
220614-LD-001.07,LD-001.07,0.2667527184612502,3.6176883146373418,3.0817643477232997,3.0913620929171115,2.6334080372013093,13.561954815327832,11.552888253586707
210625-LD-002.01,LD-002.01,6.819568565224655e-7,1,1,1,1,1466368.4226291776,1466368.4226291776
220107-LD-002.03,LD-002.03,6.380490232848883e-6,1,1,24289.276244675926,24289.276244675926,156727.7691064658,156727.7691064658
220107-LD-002.05,LD-002.05,8.130303277709188e-7,1,1,1,1,1229966.4180322706,1229966.4180322706
220107-LD-002.06,LD-002.06,5.030092399807809e-7,4.2300821818181815e-4,1,4.2300821818181815e-4,1,840.955164557177,1988035.0508833758
220207-LD-002.09,LD-002.09,0.002201816452410225,1962.820308695044,1962.820308695044,16343.440799207541,16343.440799207541,891455.0104966456,891455.0104966456
220325-LD-002.11,LD-002.11,0.0016843560732885006,3237.378950704813,3.3363888118630616,14908.406972935662,15.364355852247321,1922027.653205313,1980.809678412693
220325-LD-002.12,LD-002.12,0.006195289034982777,1.206967034862085,0.3195343147022271,1.216629766582898,0.32209244120392916,194.8201331764726,51.576982590791324
220325-LD-002.13,LD-002.13,9.678318796820673e-4,0.881123149232514,1325.5409876901595,0.7772567547905879,1169.2868214067184,910.4093053041018,1369598.3936028224
220325-LD-002.15,LD-002.15,1.1816611773558696e-6,2.820054787878788e-4,1.6905894685039367e-5,8.011311702614282,0.4802686547636036,238.6517253777475,14.306888479545927
220325-LD-002.16,LD-002.16,1.9419147205707495e-6,1,1.569575601583917e-5,1461.608526758398,0.022941050826669956,514955.67205242114,8.082618587507293
210628-LD-003.01,LD-003.01,0.0030522377201172147,0.01969106073326014,0.015441447266114487,1.0164024464831805e-6,7.970482134570764e-7,6.451352266396848,5.059057872308022
210628-LD-003.02,LD-003.02,9.517192773892775e-7,1,5.588846746203903e-6,1,5.588846746203903e-6,1050730.003854881,5.872368963183167
210628-LD-004.01,LD-004.01,3.230123180379747e-6,1,1,1,1,309585.71675351274,309585.71675351274
210628-UC-060.02,LD-004.02,5.0468179233621765e-6,1,1,1,1,198144.65573860108,198144.65573860108
210630-LD-004.05,LD-004.05,1.0907796448694215e-7,1.567004696846875e-5,1.6495077057501968e-5,1.567004696846875e-5,1.6495077057501968e-5,143.65914364256983,151.22281695563373
210628-LD-006.01,LD-006.01,1.2210715012448343,1016842.8845953936,1016842.8845953936,331120.76806199347,331120.76806199347,832746.3900015374,832746.3900015374
210628-LD-007.01,LD-007.01,2.471474394673124e-6,1.0922747417840377e-5,1.4313657499999999e-4,1.0922747417840377e-5,1.4313657499999999e-4,4.419526838466402,57.915459415039244
210628-LD-008.01,LD-008.01,5.758639915373767e-6,1,1,1,1,173652.1148562029,173652.1148562029
210628-LD-009.01,LD-009.01,0.039010020603190254,137652.33333705502,137652.33333705502,14616.085267583981,14616.085267583981,3528640.364927102,3528640.364927102
210628-LD-009.02,LD-009.02,0.09899116681761605,341836.62778702,341836.62778702,135530.97248123327,135530.97248123327,3453203.339009316,3453203.339009316
210628-LD-010.01,LD-010.01,3.2979609854604203e-6,1.4600220897395669e-6,3.2968117082533586e-6,1.4600220897395669e-6,3.2968117082533586e-6,0.44270447594022605,0.9996515188590379
210628-LD-010.02,LD-010.02,0.03406586090649172,10635.934483199353,10635.934483199353,1844.829978388125,1844.829978388125,312216.8117927273,312216.8117927273
210628-LD-011.01,LD-011.01,120828.15926252608,120828.15926252608,120828.15926252608,679780.8384450875,679780.8384450875,1,1
210628-LD-011.02,LD-011.02,792.4510700466828,135852.58844761457,135852.58844761457,415037.4085415073,415037.4085415073,171.43340905528916,171.43340905528916
210630-LD-011.03,LD-011.03,9.197806399810386,163837.77466037727,163837.77466037727,250873.37609645553,250873.37609645553,17812.700935274614,17812.700935274614
210630-LD-011.04,LD-011.04,0.08189114424543471,128781.40518866703,128781.40518866703,35424.07574852626,35424.07574852626,1572592.5724361383,1572592.5724361383
210714-LD-011.06,LD-011.06,8233.648827383107,8233.648827383107,8233.648827383107,28514.653622032016,28514.653622032016,1,1
220614-LD-011.07,LD-011.07,4.478187989183587,50.57215557570532,44.003553227327764,96.73153021655179,84.16748288043556,11.292995224375353,9.826196071628068
220614-LD-011.08,LD-011.08,9.322351560913004,74.37018273041356,58.827777981949914,174.66195824981676,138.15987166602582,7.977620479604607,6.3104011469171075
210628-LD-012.01,LD-012.01,600317.1203866012,600317.1203866012,600317.1203866012,588629.6157763366,588629.6157763366,1,1
210630-LD-014.02,LD-014.02,12.71108558854395,206355.13631583113,206355.13631583113,513916.58467264293,513916.58467264293,16234.265348807947,16234.265348807947
210630-LD-014.03,LD-014.03,40.129102627216,502170.4380092149,502170.4380092149,1531726.5253379804,1531726.5253379804,12513.871607700426,12513.871607700426
