index_column,taxumap1,taxumap2
210811-LD-051.05,41.262554,12.261244
210811-LD-069.04,37.243896,23.92199
210811-LD-069.06,36.631924,24.330332
210811-LD-074.09,40.79004,12.53915
210811-LD-075.03,37.96212,22.810305
210811-LD-083.03,40.70694,14.995296
210811-LD-094.07,40.18418,16.029339
210811-LD-100.04,38.21607,22.741587
210811-LD-100.05,38.390385,22.813143
210811-LD-100.07,41.3482,10.764111
210811-LD-102.02,37.171543,24.02861
210811-LD-102.03,37.051243,24.278606
210811-LD-105.01,41.057056,11.235769
210811-LD-105.02,41.243435,11.103057
210811-LD-105.03,39.51773,11.840937
210811-LD-107.01,41.484188,11.49817
210811-LD-109.01,41.11057,12.157092
210811-LD-109.02,41.438473,12.082913
210811-LD-110.01,37.903202,17.71871
210811-LD-110.02,39.770046,12.78791
210811-LD-112.01,42.02776,11.549894
210811-LD-116.01,39.873566,16.854788
210828-LD-020.02,42.10407,12.4045725
210828-LD-022.03,40.411865,12.570476
210828-LD-029.05,37.79929,22.557308
210828-LD-029.06,37.67132,22.995989
210828-LD-032.03,39.869556,18.303312
210828-LD-032.04,41.701454,13.101289
210828-LD-033.06,41.948853,11.077588
210828-LD-035.02,38.27829,12.044222
210828-LD-044.02.2,40.530262,16.687805
210828-LD-044.03,40.512867,16.890375
210828-LD-044.04,39.164085,12.000801
210828-LD-047.05,39.47766,11.622337
210828-LD-048.01,41.86488,12.089566
210828-LD-048.02,41.657604,13.063474
210828-LD-049.02,37.403774,22.490526
210828-LD-049.03,39.05715,12.453495
210828-LD-049.04,40.227276,11.555344
210828-LD-050.02,41.668327,11.785338
210828-LD-051.06,40.897713,11.8445635
210828-LD-051.10,38.38206,11.626607
210828-LD-054.02.2,42.210373,11.709005
210828-LD-054.03,42.123505,11.769923
210828-LD-054.04,40.563877,16.462658
210828-LD-060.04,36.70845,24.39694
210828-LD-060.05,37.52244,23.560541
210828-LD-061.02,37.16654,23.052618
210828-LD-063.02,38.403088,12.054258
210828-LD-064.02,38.108032,11.878896
210828-LD-066.01,37.52272,23.909683
210828-LD-069.01,39.83022,11.698573
210828-LD-069.05,36.984055,24.271765
210828-LD-069.07,36.75967,24.484516
210828-LD-069.08,36.67725,24.435469
210828-LD-069.09,36.68321,24.411049
210828-LD-070.01,41.68708,10.620435
210828-LD-072.01,41.48603,12.779682
210828-LD-072.02,41.55842,12.787535
210828-LD-072.03,41.6315,12.750297
210828-LD-072.04,41.64071,12.153248
210828-LD-072.08,41.471443,11.873795
210828-LD-074.01,41.588825,10.7645035
210828-LD-074.02,41.356747,13.168325
210828-LD-074.03,40.73913,15.016866
210828-LD-074.10,41.751793,10.651431
210828-LD-074.11,42.34005,11.924737
210828-LD-075.01,38.011723,23.117395
210828-LD-075.02,38.107906,21.257149
210828-LD-076.01,39.244854,11.705459
210828-LD-077.01,41.28439,11.376812
210828-LD-079.01,41.425774,11.371958
210828-LD-080.01,36.858093,24.24454
210828-LD-081.01,41.933384,12.324001
210828-LD-081.02,39.60415,11.748835
210828-LD-083.01,41.806393,12.2880535
210828-LD-090.01,39.859524,18.32089
210828-LD-101.01,41.720734,10.9379425
210828-LD-101.02,40.421616,16.440613
210828-LD-102.04,36.638836,24.426346
210828-LD-102.05,36.716797,24.44588
210828-LD-104.02,40.1411,15.801262
210828-LD-105.04,40.538975,16.93782
210828-LD-115.01,41.667553,11.6508465
210828-LD-115.02,37.92288,17.63427
210828-LD-116.02,37.05426,23.457357
210828-LD-116.07,36.85182,22.857124
210828-LD-118.01,41.884907,13.677937
210828-LD-118.02,42.062737,12.835019
210828-LD-119.01,42.14064,12.3998785
210828-LD-119.02,42.175213,12.077302
210828-LD-120.01,39.949924,12.033317
210828-LD-121.01,42.09048,11.536542
210828-LD-121.05,42.065357,11.503345
210828-LD-123.01,41.39261,12.883003
210828-LD-123.02,41.605286,12.158064
210828-LD-124.01,37.53604,23.136358
210828-LD-126.01,41.090137,11.853633
210828-LD-127.01,41.006596,12.833476
211004-LD-020-04,40.286175,14.0892105
211004-LD-020-06,42.094273,12.125051
211004-LD-028-03,38.012608,21.96306
211004-LD-028-06,38.122272,19.270075
211004-LD-051-03,40.59285,14.521592
211004-LD-051-14,38.021355,11.835019
211004-LD-060-11,41.32485,14.063863
211004-LD-060-12,41.18202,14.090715
211004-LD-060-19,41.23939,14.048244
211004-LD-072-11,41.640186,11.871519
211004-LD-073-13,41.29005,13.954314
211004-LD-074-15,40.37552,15.667505
211004-LD-074-16,40.232285,15.983651
211004-LD-074-17,40.39869,15.695108
211004-LD-074-18,40.38821,15.904851
211004-LD-074-21,40.391014,15.695613
211004-LD-088-02,41.759083,12.986408
211004-LD-088-03,41.715107,12.991276
211004-LD-101-05,40.66873,16.891716
211004-LD-101-08,37.824867,17.661184
211004-LD-102-12,36.98171,23.975126
211004-LD-102-13,36.59617,24.351982
211004-LD-102-18,36.91111,24.259369
211004-LD-109-03,40.38216,16.838913
211004-LD-109-05,36.94608,23.180477
211004-LD-109-06,36.97904,22.864197
211004-LD-109-09,40.21575,16.916904
211004-LD-109.10,40.57365,16.941286
211004-LD-109.11,37.392437,22.248697
211004-LD-111-02,41.07187,10.4316435
211004-LD-111-04,40.958347,10.872017
211004-LD-111-06,41.0738,10.640367
211004-LD-117-05,37.321884,23.437117
211004-LD-117-09,37.533203,22.58368
211004-LD-117.12,37.68186,22.408878
211004-LD-121-09,41.460903,11.684738
211004-LD-123-06,41.558586,12.015618
211004-LD-123-07,41.696373,11.833267
211004-LD-123-10,41.48332,11.842462
