index_column,taxumap1,taxumap2
210806-LD-102.01,56.977543,-10.765769
210806-LD-104.01,44.496784,-11.842937
210811-LD-028.02,45.124397,-12.066857
210811-LD-032.07,55.691387,-10.1988945
210811-LD-051.05,45.550163,-13.656284
210811-LD-069.04,57.39987,-10.477068
210811-LD-069.06,57.966103,-10.421125
210811-LD-074.09,45.896965,-12.998843
210811-LD-075.03,55.91268,-10.222197
210811-LD-083.03,47.826756,-11.960649
210811-LD-094.07,48.708015,-13.084923
210811-LD-100.04,55.5869,-10.068792
210811-LD-100.05,55.65346,-10.026923
210811-LD-100.07,44.53046,-14.97834
210811-LD-102.02,57.64019,-10.628745
210811-LD-102.03,57.757236,-10.620629
210811-LD-105.01,44.453026,-13.882553
210811-LD-105.02,44.38794,-13.976145
210811-LD-105.03,44.50277,-12.355824
210811-LD-107.01,45.202976,-14.491189
210811-LD-109.01,45.396004,-13.40293
210811-LD-109.02,45.488323,-14.389251
210811-LD-110.01,50.160168,-10.490196
210811-LD-110.02,45.079464,-11.812969
210811-LD-112.01,45.209717,-14.624377
210811-LD-116.01,49.81238,-12.936999
210828-LD-020.02,45.9769,-14.278496
210828-LD-022.03,45.832184,-12.745345
210828-LD-029.05,55.88508,-11.217042
210828-LD-029.06,56.67736,-10.96952
210828-LD-032.03,50.96128,-12.402354
210828-LD-032.04,46.407192,-13.488191
210828-LD-033.06,44.70325,-14.50788
210828-LD-035.02,44.14517,-11.069049
210828-LD-044.02.2,49.128433,-13.268047
210828-LD-044.03,49.5217,-13.556432
210828-LD-044.04,44.427002,-11.817915
210828-LD-047.05,44.052315,-12.6015415
210828-LD-048.01,45.66574,-14.482137
210828-LD-048.02,46.407845,-13.541113
210828-LD-049.02,55.87169,-10.860338
210828-LD-049.03,44.74887,-11.80586
210828-LD-049.04,44.522617,-12.957761
210828-LD-050.02,45.33852,-13.988213
210828-LD-051.06,44.962616,-13.47484
210828-LD-051.10,43.708332,-11.313337
210828-LD-054.02.2,45.45958,-14.917384
210828-LD-054.03,45.66909,-14.750863
210828-LD-054.04,49.146732,-13.534117
210828-LD-060.04,57.960354,-10.409087
