term,estimate,std.error,statistic,p.value,exp(coef)
diversityLow,0.41617805174673067,0.37086718739004504,1.122175446891266,0.26178785004092137,1.5161557990274206
diversityMedium,0.0199104125845577,0.3918633533118523,0.05080958047310082,0.9594772566260127,1.0201099469193693
meld_na_final,0.07704384578893173,0.01708231250767916,4.510153163062526,6.4780836342713415e-6,1.0800894327276995
age,0.02187818279192197,0.013253517542502043,1.650745375464432,0.09879057825944061,1.0221192651710895
sexMale,-0.15488192549546662,0.31732981867588694,-0.4880787003936094,0.6254940973044771,0.8565163042514988
