term,OR,2.5 %,97.5 %,estimate,std.error,statistic,p.value
(Intercept),0.027884016606816248,0.003211536197842283,0.16343507883742098,-3.579701635790229,0.9911685273957608,-3.611597358923101,3.043167955725683e-4
bifido.catExpansion,0.0921621496556438,0.004715158285707437,0.5431897295908485,-2.384205757050034,1.1047792731753887,-2.1580833519778846,0.030921351872486062
sbp.PPIYes,0.3197971949010707,0.09602965625398638,0.9659478555404015,-1.1400682500370414,0.58185341057012,-1.9593736658172431,0.050069042367341186
sbp.meldna_final,1.11031854542006,1.0421621391208202,1.197672248415085,0.10464695200988418,0.03502494295857199,2.9877836527431927,0.002810083972595292
