term,OR,2.5 %,97.5 %,estimate,std.error,statistic,p.value
(Intercept),0.17228139593722275,0.052975283584220136,0.49052956465053715,-1.7586261161054486,0.5628078790862575,-3.124736133688556,0.0017796462001203842
bifido.catExpansion,0.15943885013587136,0.008751642977611539,0.8026325807125254,-1.836094814996031,1.040034114030119,-1.7654178744975844,0.07749356148708139
bacteremia.PPIYes,0.6019460411084386,0.21436616094377073,1.5757667008822702,-0.5075874704008023,0.5010329959390719,-1.0130819217793143,0.3110210325686394
bacteremia.meldna_final,0.988492604996582,0.945507254595684,1.03303096311835,-0.011574117434772825,0.022375315701846768,-0.517271693012025,0.6049665113969698
