term,estimate,std.error,statistic,p.value,exp(coef)
"lactulose_bifido_statuslactulose, bifido > 10%",-0.8691575081148535,0.5573616425558784,-1.5594139276057484,0.11889844197081763,0.4193046612542634
meld_na_final,0.09219495578520596,0.022439520001885167,4.10859750018987,3.9806914553301306e-5,1.0965785855821164
age,0.04064563917159964,0.018447937410423124,2.203261983566508,0.027576288805669393,1.041482979376078
sexMale,-0.10505392111689509,0.38221616306629014,-0.27485473213406447,0.7834278466170028,0.9002759773912571
